学校,所在学院,URL
中山大学南方学院,文学与传媒学院,http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
暨南大学，新闻与传播学院，https：//xwxy.jnu.edu.cn/
上海大学，文选与传播学，院,https://e.nfu.edu.cn
内蒙古大学，文学与新闻学院，https：//wxxy.imu.edu.cn/xygk.htms
上海大学，文学与新闻学院，https：//gkcx.eol.cn/school/76/specialtydetail/169446
韩山师范学院,文学与新闻学院,http://college.gaokao.com/school/tinfo/376/schspe/54435/
北京印刷学院,新闻出版学院,http://xwcb.bigc.edu.cn
